"year","mean","location","age","per1000"
2006,0.0592817424942567,"Nepal","Under 5",59.2817424942567
2007,0.0559864398955212,"Nepal","Under 5",55.9864398955212
2008,0.052670527240223,"Nepal","Under 5",52.670527240223
2009,0.0493201779163099,"Nepal","Under 5",49.3201779163099
2010,0.0459864124087451,"Nepal","Under 5",45.9864124087451
2011,0.0427607108009793,"Nepal","Under 5",42.7607108009793
2012,0.0396058935521078,"Nepal","Under 5",39.6058935521078
2013,0.0367429829715071,"Nepal","Under 5",36.7429829715071
2014,0.0341396831600885,"Nepal","Under 5",34.1396831600885
2015,0.0325427652537134,"Nepal","Under 5",32.5427652537134
2016,0.0293543978890501,"Nepal","Under 5",29.3543978890501
1970,0.0906356695857939,"Nepal","Neonatal",90.6356695857939
1971,0.0892868670369357,"Nepal","Neonatal",89.2868670369357
1972,0.0879137154811654,"Nepal","Neonatal",87.9137154811654
1973,0.0867062513620893,"Nepal","Neonatal",86.7062513620893
1974,0.0853146978346722,"Nepal","Neonatal",85.3146978346722
1975,0.0840006314882519,"Nepal","Neonatal",84.0006314882519
1976,0.082673462816199,"Nepal","Neonatal",82.673462816199
1977,0.0812549940106386,"Nepal","Neonatal",81.2549940106386
1978,0.0797127865187763,"Nepal","Neonatal",79.7127865187763
1979,0.0779713988618662,"Nepal","Neonatal",77.9713988618662
1980,0.0764674026377706,"Nepal","Neonatal",76.4674026377706
1981,0.0747401624712765,"Nepal","Neonatal",74.7401624712765
1982,0.0728713198720633,"Nepal","Neonatal",72.8713198720633
1983,0.071142937560713,"Nepal","Neonatal",71.142937560713
1984,0.0691652916759975,"Nepal","Neonatal",69.1652916759975
1985,0.067081417874873,"Nepal","Neonatal",67.081417874873
1986,0.064981575093193,"Nepal","Neonatal",64.981575093193
1987,0.0630588588618564,"Nepal","Neonatal",63.0588588618564
1988,0.0611772252372162,"Nepal","Neonatal",61.1772252372162
1989,0.0593579986587237,"Nepal","Neonatal",59.3579986587237
1990,0.0576623213976794,"Nepal","Neonatal",57.6623213976793
1991,0.0558641153063982,"Nepal","Neonatal",55.8641153063982
